Year,Oil_ktoe,Natural_Gas_ktoe,Hydro_ktoe,Solar_ktoe,Biomass_ktoe,Total_ktoe
2000,1688,0,568,0,4410,6666
2001,1761,0,568,0,4236,6565
2002,2277,0,433,0,4135,6845
2003,2347,0,334,0,4009,6691
2004,2094,0,454,0,4041,6589
2005,2103,0,484,0,4030,6617
2006,2908,0,483,0,4047,7437
2007,3082,0,320,0,4036,7438
2008,2862,0,533,0,3975,7370
2009,2390,5,591,0,3975,6961
2010,2934,416,601,0,3903,7855
2011,2874,813,650,0,3918,8255
2012,3467,412,694,0,4137,8710
2013,4137,308,708,0,4485,9639
2014,4061,655,721,0,4614,10051
2015,3766,1253,503,0,4738,10260
2016,4613,732,478,2,4868,10694
2017,3998,1211,483,2,5066,10761
2018,4276,1676,517,3,5015,11488
2019,4395,2107,624,4,4942,12072
2020,4305,3014,627,5,4822,12773
2021,4470,3189,647,11,4275,12591
2022,4152,3472,704,14,4073,12416
2023,4642,3487,790,13,4043,12975
2024,4943,3906,851,16,4026,13741
